#SampleID	env_material	Collection_Date	BioSample
SRR10533966	Bulk soil	2015	SAMN13285827
SRR10533967	Bulk soil	2015	SAMN13285828
SRR10533968	Bulk soil	2015	SAMN13285829
SRR10533969	Bulk soil	2015	SAMN13285830
SRR10533970	Bulk soil	2015	SAMN13285831
SRR10533971	Bulk soil	2015	SAMN13285832
SRR10533972	Bulk soil	2015	SAMN13285836
SRR10533973	Bulk soil	2015	SAMN13285833
SRR10533974	Bulk soil	2015	SAMN13285834
SRR10533975	Bulk soil	2015	SAMN13285835
SRR10533976	Bulk soil	2015	SAMN13285843
SRR10533977	Bulk soil	2015	SAMN13285837
SRR10533978	Bulk soil	2015	SAMN13285838
SRR10533979	Bulk soil	2015	SAMN13285839
SRR10533980	Bulk soil	2015	SAMN13285840
SRR10533981	Bulk soil	2015	SAMN13285841
SRR10533982	Bulk soil	2015	SAMN13285842
SRR10533983	Bulk soil	2015	SAMN13285847
SRR10533984	Bulk soil	2015	SAMN13285844
SRR10533985	Bulk soil	2015	SAMN13285845
SRR10533986	Bulk soil	2015	SAMN13285846
SRR10533987	Bulk soil	2015	SAMN13285848
SRR10533988	Bulk soil	2015	SAMN13285849
SRR10533989	Bulk soil	2015	SAMN13285850
SRR10533990	Bulk soil	2015	SAMN13285851
SRR10533991	Bulk soil	2015	SAMN13285852
SRR10533992	Bulk soil	2015	SAMN13285853
SRR10533993	Bulk soil	2015	SAMN13285854
SRR10533994	Bulk soil	2015	SAMN13285855
SRR10533995	Bulk soil	2015	SAMN13285856
SRR10533996	Bulk soil	2015	SAMN13285857
SRR10533997	Bulk soil	2015	SAMN13285858
SRR10533998	Bulk soil	2015	SAMN13285859
SRR10533999	Bulk soil	2015	SAMN13285860
SRR10534000	Bulk soil	2015	SAMN13285861
SRR10534001	Bulk soil	2015	SAMN13285862
SRR10534002	Bulk soil	2015	SAMN13285863
SRR10534003	Bulk soil	2015	SAMN13285864
SRR10534004	Bulk soil	2015	SAMN13285865
SRR10534005	Bulk soil	2015	SAMN13285866
SRR10534006	Bulk soil	2015	SAMN13285867
SRR10534007	Bulk soil	2015	SAMN13285868
SRR10534008	Bulk soil	2016	SAMN13283936
SRR10534009	rhizosphere	2016	SAMN13283926
SRR10534010	rhizosphere	2016	SAMN13283927
SRR10534011	rhizosphere	2016	SAMN13283928
SRR10534012	rhizosphere	2016	SAMN13283929
SRR10534013	rhizosphere	2016	SAMN13283930
SRR10534014	rhizosphere	2016	SAMN13283931
SRR10534015	rhizosphere	2016	SAMN13283932
SRR10534016	rhizosphere	2016	SAMN13283933
SRR10534017	rhizosphere	2016	SAMN13283934
SRR10534018	rhizosphere	2016	SAMN13283935
SRR10534019	Bulk soil	2016	SAMN13283947
SRR10534020	rhizosphere	2016	SAMN13283937
SRR10534021	rhizosphere	2016	SAMN13283938
SRR10534022	rhizosphere	2016	SAMN13283939
SRR10534023	rhizosphere	2016	SAMN13283940
SRR10534024	rhizosphere	2016	SAMN13283941
SRR10534025	rhizosphere	2016	SAMN13283942
SRR10534026	rhizosphere	2016	SAMN13283943
SRR10534027	rhizosphere	2016	SAMN13283944
SRR10534028	rhizosphere	2016	SAMN13283945
SRR10534029	rhizosphere	2016	SAMN13283946
SRR10534030	Bulk soil	2016	SAMN13283958
SRR10534031	rhizosphere	2016	SAMN13283948
SRR10534032	rhizosphere	2016	SAMN13283949
SRR10534033	rhizosphere	2016	SAMN13283950
SRR10534034	rhizosphere	2016	SAMN13283951
SRR10534035	rhizosphere	2016	SAMN13283952
SRR10534036	rhizosphere	2016	SAMN13283953
SRR10534037	rhizosphere	2016	SAMN13283954
SRR10534038	Bulk soil	2016	SAMN13283955
SRR10534039	Bulk soil	2016	SAMN13283956
SRR10534040	Bulk soil	2016	SAMN13283957
SRR10534041	Bulk soil	2016	SAMN13283969
SRR10534042	Bulk soil	2016	SAMN13283959
SRR10534043	Bulk soil	2016	SAMN13283960
SRR10534044	Bulk soil	2016	SAMN13283961
SRR10534045	Bulk soil	2016	SAMN13283962
SRR10534046	Bulk soil	2016	SAMN13283963
SRR10534047	Bulk soil	2016	SAMN13283964
SRR10534048	Bulk soil	2016	SAMN13283965
SRR10534049	Bulk soil	2016	SAMN13283966
SRR10534050	Bulk soil	2016	SAMN13283967
SRR10534051	Bulk soil	2016	SAMN13283968
SRR10534052	Bulk soil	2016	SAMN13284057
SRR10534053	Bulk soil	2016	SAMN13283970
SRR10534054	Bulk soil	2016	SAMN13283971
SRR10534055	Bulk soil	2016	SAMN13283979
SRR10534056	rhizosphere	2016	SAMN13283972
SRR10534057	rhizosphere	2016	SAMN13283973
SRR10534058	rhizosphere	2016	SAMN13283974
SRR10534059	rhizosphere	2016	SAMN13283975
SRR10534060	rhizosphere	2016	SAMN13283976
SRR10534061	rhizosphere	2016	SAMN13283977
SRR10534062	rhizosphere	2016	SAMN13283978
SRR10534063	Bulk soil	2016	SAMN13283990
SRR10534064	rhizosphere	2016	SAMN13283980
SRR10534065	rhizosphere	2016	SAMN13283981
SRR10534066	rhizosphere	2016	SAMN13283982
SRR10534067	rhizosphere	2016	SAMN13283983
SRR10534068	rhizosphere	2016	SAMN13283984
SRR10534069	rhizosphere	2016	SAMN13283985
SRR10534070	rhizosphere	2016	SAMN13283986
SRR10534071	rhizosphere	2016	SAMN13283987
SRR10534072	rhizosphere	2016	SAMN13283988
SRR10534073	rhizosphere	2016	SAMN13283989
SRR10534074	Bulk soil	2016	SAMN13284001
SRR10534075	rhizosphere	2016	SAMN13283991
SRR10534076	rhizosphere	2016	SAMN13283992
SRR10534077	rhizosphere	2016	SAMN13283993
SRR10534078	rhizosphere	2016	SAMN13283994
SRR10534079	rhizosphere	2016	SAMN13283995
SRR10534080	rhizosphere	2016	SAMN13283996
SRR10534081	rhizosphere	2016	SAMN13283997
SRR10534082	rhizosphere	2016	SAMN13283998
SRR10534083	rhizosphere	2016	SAMN13283999
SRR10534084	rhizosphere	2016	SAMN13284000
SRR10534085	Bulk soil	2016	SAMN13284012
SRR10534086	rhizosphere	2016	SAMN13284002
SRR10534087	rhizosphere	2016	SAMN13284003
SRR10534088	rhizosphere	2016	SAMN13284004
SRR10534089	rhizosphere	2016	SAMN13284005
SRR10534090	rhizosphere	2016	SAMN13284006
SRR10534091	rhizosphere	2016	SAMN13284007
SRR10534092	rhizosphere	2016	SAMN13284008
SRR10534093	rhizosphere	2016	SAMN13284009
SRR10534094	rhizosphere	2016	SAMN13284010
SRR10534095	rhizosphere	2016	SAMN13284011
SRR10534096	Bulk soil	2016	SAMN13284023
SRR10534097	rhizosphere	2016	SAMN13284013
SRR10534098	rhizosphere	2016	SAMN13284014
SRR10534099	rhizosphere	2016	SAMN13284015
SRR10534100	rhizosphere	2016	SAMN13284016
SRR10534101	rhizosphere	2016	SAMN13284017
SRR10534102	rhizosphere	2016	SAMN13284018
SRR10534103	rhizosphere	2016	SAMN13284019
SRR10534104	rhizosphere	2016	SAMN13284020
SRR10534105	rhizosphere	2016	SAMN13284021
SRR10534106	rhizosphere	2016	SAMN13284022
SRR10534107	Bulk soil	2016	SAMN13284034
SRR10534108	rhizosphere	2016	SAMN13284024
SRR10534109	rhizosphere	2016	SAMN13284025
SRR10534110	rhizosphere	2016	SAMN13284026
SRR10534111	rhizosphere	2016	SAMN13284027
